Data as of,Start week,End Week,Group,State,Indicator,COVID-19 Deaths,Total Deaths,Percent of Expected Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
05/13/2020,04/04/2020,04/04/2020,By week,Michigan,Week-ending,543,"2,905",1.49,525,282,17,801,
05/13/2020,04/11/2020,04/11/2020,By week,Michigan,Week-ending,761,"3,062",1.59,588,375,,982,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/18/2020,04/18/2020,By week,Michigan,Week-ending,710,"2,759",1.49,524,362,,876,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/25/2020,04/25/2020,By week,Michigan,Week-ending,453,"2,254",1.2,324,195,,583,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,05/02/2020,05/02/2020,By week,Michigan,Week-ending,174,"1,619",0.89,160,79,,257,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,05/09/2020,05/09/2020,By week,Michigan,Week-ending,22,495,0.27,41,12,,52,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,02/01/2020,By week,Minnesota,Week-ending,0,941,1.02,76,0,,82,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/08/2020,02/08/2020,By week,Minnesota,Week-ending,0,917,0.99,60,0,,69,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/15/2020,02/15/2020,By week,Minnesota,Week-ending,0,938,1.02,51,0,,58,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/22/2020,02/22/2020,By week,Minnesota,Week-ending,0,910,1.01,63,0,13,76,
05/13/2020,02/29/2020,02/29/2020,By week,Minnesota,Week-ending,0,930,1.07,67,0,17,84,
05/13/2020,03/07/2020,03/07/2020,By week,Minnesota,Week-ending,0,939,1.07,69,0,17,86,
05/13/2020,03/14/2020,03/14/2020,By week,Minnesota,Week-ending,0,870,1.03,49,0,16,65,
05/13/2020,03/21/2020,03/21/2020,By week,Minnesota,Week-ending,,885,1.01,66,,15,81,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/28/2020,03/28/2020,By week,Minnesota,Week-ending,11,895,1.05,59,,,71,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/04/2020,04/04/2020,By week,Minnesota,Week-ending,21,904,1.05,59,,,79,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/11/2020,04/11/2020,By week,Minnesota,Week-ending,43,909,1.01,91,18,,118,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/18/2020,04/18/2020,By week,Minnesota,Week-ending,72,897,1.05,86,22,,136,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/25/2020,04/25/2020,By week,Minnesota,Week-ending,124,916,1.11,91,40,0,175,
05/13/2020,05/02/2020,05/02/2020,By week,Minnesota,Week-ending,112,813,0.97,71,28,,156,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,05/09/2020,05/09/2020,By week,Minnesota,Week-ending,13,458,0.54,26,,0,37,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,02/01/2020,By week,Mississippi,Week-ending,0,600,0.92,51,0,,53,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/08/2020,02/08/2020,By week,Mississippi,Week-ending,0,701,1.02,56,0,,62,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/15/2020,02/15/2020,By week,Mississippi,Week-ending,0,642,0.98,50,0,,54,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/22/2020,02/22/2020,By week,Mississippi,Week-ending,0,623,0.96,43,0,,48,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/29/2020,02/29/2020,By week,Mississippi,Week-ending,0,662,1.08,56,0,10,66,
05/13/2020,03/07/2020,03/07/2020,By week,Mississippi,Week-ending,0,646,1.03,55,0,,61,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/14/2020,03/14/2020,By week,Mississippi,Week-ending,0,611,0.96,49,0,,56,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/21/2020,03/21/2020,By week,Mississippi,Week-ending,,611,0.97,50,0,,56,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/28/2020,03/28/2020,By week,Mississippi,Week-ending,14,677,1.16,59,,,71,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/04/2020,04/04/2020,By week,Mississippi,Week-ending,50,688,1.11,82,22,,111,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/11/2020,04/11/2020,By week,Mississippi,Week-ending,60,665,1.11,81,33,,109,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/18/2020,04/18/2020,By week,Mississippi,Week-ending,57,695,1.17,83,27,0,113,
05/13/2020,04/25/2020,04/25/2020,By week,Mississippi,Week-ending,47,656,1.11,65,19,0,93,
05/13/2020,05/02/2020,05/02/2020,By week,Mississippi,Week-ending,46,524,0.89,51,21,0,76,
05/13/2020,05/09/2020,05/09/2020,By week,Mississippi,Week-ending,15,292,0.49,17,,0,28,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,02/01/2020,By week,Missouri,Week-ending,0,"1,350",1,86,0,12,98,
05/13/2020,02/08/2020,02/08/2020,By week,Missouri,Week-ending,0,"1,313",0.96,71,0,,75,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/15/2020,02/15/2020,By week,Missouri,Week-ending,0,"1,329",0.94,65,0,13,78,
05/13/2020,02/22/2020,02/22/2020,By week,Missouri,Week-ending,0,"1,335",1,61,0,30,91,
05/13/2020,02/29/2020,02/29/2020,By week,Missouri,Week-ending,0,"1,332",1.02,88,0,24,112,
05/13/2020,03/07/2020,03/07/2020,By week,Missouri,Week-ending,0,"1,325",1.02,85,0,22,107,
05/13/2020,03/14/2020,03/14/2020,By week,Missouri,Week-ending,0,"1,236",0.94,76,0,21,97,
05/13/2020,03/21/2020,03/21/2020,By week,Missouri,Week-ending,,"1,198",0.9,62,,22,84,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/28/2020,03/28/2020,By week,Missouri,Week-ending,12,"1,241",0.97,99,,13,117,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/04/2020,04/04/2020,By week,Missouri,Week-ending,41,"1,171",0.96,101,18,,130,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/11/2020,04/11/2020,By week,Missouri,Week-ending,79,"1,308",1.08,95,23,,152,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/18/2020,04/18/2020,By week,Missouri,Week-ending,65,"1,144",0.93,81,15,,133,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/25/2020,04/25/2020,By week,Missouri,Week-ending,71,"1,039",0.85,90,28,0,133,
05/13/2020,05/02/2020,05/02/2020,By week,Missouri,Week-ending,40,760,0.61,47,12,0,75,
05/13/2020,05/09/2020,05/09/2020,By week,Missouri,Week-ending,,301,0.25,18,,0,23,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,02/01/2020,By week,Montana,Week-ending,0,218,1.05,10,0,,11,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/08/2020,02/08/2020,By week,Montana,Week-ending,0,202,0.94,,0,,11,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/15/2020,02/15/2020,By week,Montana,Week-ending,0,198,0.9,,0,,11,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/22/2020,02/22/2020,By week,Montana,Week-ending,0,218,0.97,15,0,,17,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/29/2020,02/29/2020,By week,Montana,Week-ending,0,235,1.14,,0,,11,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/07/2020,03/07/2020,By week,Montana,Week-ending,0,219,0.96,12,0,,18,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/14/2020,03/14/2020,By week,Montana,Week-ending,0,218,1.06,11,0,,18,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/21/2020,03/21/2020,By week,Montana,Week-ending,0,227,1.1,21,0,,26,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/28/2020,03/28/2020,By week,Montana,Week-ending,,205,1.12,21,,,26,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/04/2020,04/04/2020,By week,Montana,Week-ending,,176,0.86,13,0,,17,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/11/2020,04/11/2020,By week,Montana,Week-ending,0,211,1.07,10,0,0,10,
05/13/2020,04/18/2020,04/18/2020,By week,Montana,Week-ending,,182,0.9,10,,,14,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/25/2020,04/25/2020,By week,Montana,Week-ending,,149,0.77,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,05/02/2020,05/02/2020,By week,Montana,Week-ending,,49,0.26,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,05/09/2020,05/09/2020,By week,Montana,Week-ending,0,0,0,0,0,0,0,
05/13/2020,02/01/2020,02/01/2020,By week,Nebraska,Week-ending,0,372,1.07,28,0,,34,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/08/2020,02/08/2020,By week,Nebraska,Week-ending,0,345,0.94,21,0,,27,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/15/2020,02/15/2020,By week,Nebraska,Week-ending,0,325,0.95,28,0,,31,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/22/2020,02/22/2020,By week,Nebraska,Week-ending,0,316,0.88,29,0,,31,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/29/2020,02/29/2020,By week,Nebraska,Week-ending,0,340,0.99,22,0,,24,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/07/2020,03/07/2020,By week,Nebraska,Week-ending,0,355,1.02,29,0,,31,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/14/2020,03/14/2020,By week,Nebraska,Week-ending,0,339,0.96,24,0,,25,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/21/2020,03/21/2020,By week,Nebraska,Week-ending,0,348,1.11,31,0,,33,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/28/2020,03/28/2020,By week,Nebraska,Week-ending,,326,0.93,21,0,,24,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/04/2020,04/04/2020,By week,Nebraska,Week-ending,,300,0.88,29,,,34,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/11/2020,04/11/2020,By week,Nebraska,Week-ending,10,312,0.96,19,,0,27,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/18/2020,04/18/2020,By week,Nebraska,Week-ending,,265,0.83,22,0,,26,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/25/2020,04/25/2020,By week,Nebraska,Week-ending,,260,0.83,17,,0,22,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,05/02/2020,05/02/2020,By week,Nebraska,Week-ending,12,231,0.72,20,,0,28,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,05/09/2020,05/09/2020,By week,Nebraska,Week-ending,,86,0.27,10,0,0,12,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,02/01/2020,By week,Nevada,Week-ending,0,529,1,32,0,,38,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/08/2020,02/08/2020,By week,Nevada,Week-ending,0,576,1.06,45,0,,51,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/15/2020,02/15/2020,By week,Nevada,Week-ending,0,527,1.05,29,0,,34,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/22/2020,02/22/2020,By week,Nevada,Week-ending,0,542,1.06,24,0,,25,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/29/2020,02/29/2020,By week,Nevada,Week-ending,0,540,0.99,39,0,,43,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/07/2020,03/07/2020,By week,Nevada,Week-ending,0,531,1.02,32,0,,36,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/14/2020,03/14/2020,By week,Nevada,Week-ending,0,504,0.94,43,0,,47,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/21/2020,03/21/2020,By week,Nevada,Week-ending,,500,0.98,47,,,51,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/28/2020,03/28/2020,By week,Nevada,Week-ending,18,527,1.07,56,15,,61,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/04/2020,04/04/2020,By week,Nevada,Week-ending,39,569,1.11,70,30,,80,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/11/2020,04/11/2020,By week,Nevada,Week-ending,50,555,1.09,85,39,0,96,
05/13/2020,04/18/2020,04/18/2020,By week,Nevada,Week-ending,37,496,0.99,48,30,,56,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/25/2020,04/25/2020,By week,Nevada,Week-ending,39,438,0.85,53,34,0,58,
05/13/2020,05/02/2020,05/02/2020,By week,Nevada,Week-ending,,319,0.65,31,,0,32,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,05/09/2020,05/09/2020,By week,Nevada,Week-ending,,165,0.34,,,0,10,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,02/01/2020,By week,New Hampshire,Week-ending,0,240,0.89,12,0,,15,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/08/2020,02/08/2020,By week,New Hampshire,Week-ending,0,257,1.01,12,0,,17,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/15/2020,02/15/2020,By week,New Hampshire,Week-ending,0,236,0.87,10,0,,12,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/22/2020,02/22/2020,By week,New Hampshire,Week-ending,0,277,1.05,25,0,,27,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/29/2020,02/29/2020,By week,New Hampshire,Week-ending,0,228,0.94,14,0,,21,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/07/2020,03/07/2020,By week,New Hampshire,Week-ending,0,268,1.05,16,0,,20,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/14/2020,03/14/2020,By week,New Hampshire,Week-ending,0,238,1.01,19,0,,21,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/21/2020,03/21/2020,By week,New Hampshire,Week-ending,0,252,1.09,20,0,,23,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/28/2020,03/28/2020,By week,New Hampshire,Week-ending,,258,1.09,24,,0,26,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/04/2020,04/04/2020,By week,New Hampshire,Week-ending,10,244,0.96,13,,,21,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/11/2020,04/11/2020,By week,New Hampshire,Week-ending,18,268,1.24,25,,0,37,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/18/2020,04/18/2020,By week,New Hampshire,Week-ending,15,240,1,16,,0,27,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/25/2020,04/25/2020,By week,New Hampshire,Week-ending,17,268,1.08,30,,0,41,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,05/02/2020,05/02/2020,By week,New Hampshire,Week-ending,29,246,1.04,18,,,39,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,05/09/2020,05/09/2020,By week,New Hampshire,Week-ending,18,164,0.69,10,,0,27,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,02/01/2020,By week,New Jersey,Week-ending,0,"1,512",0.95,83,0,10,93,
05/13/2020,02/08/2020,02/08/2020,By week,New Jersey,Week-ending,0,"1,488",0.92,82,0,11,93,
05/13/2020,02/15/2020,02/15/2020,By week,New Jersey,Week-ending,0,"1,481",0.93,76,0,,83,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/22/2020,02/22/2020,By week,New Jersey,Week-ending,0,"1,486",0.97,79,0,,87,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/29/2020,02/29/2020,By week,New Jersey,Week-ending,0,"1,567",1.04,89,0,12,101,
05/13/2020,03/07/2020,03/07/2020,By week,New Jersey,Week-ending,0,"1,498",0.98,86,0,11,97,
05/13/2020,03/14/2020,03/14/2020,By week,New Jersey,Week-ending,,"1,462",1,87,0,,97,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/21/2020,03/21/2020,By week,New Jersey,Week-ending,35,"1,579",1.06,117,21,,139,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/28/2020,03/28/2020,By week,New Jersey,Week-ending,266,"2,097",1.43,330,144,12,464,
05/13/2020,04/04/2020,04/04/2020,By week,New Jersey,Week-ending,"1,073","3,407",2.33,856,556,10,"1,381",
05/13/2020,04/11/2020,04/11/2020,By week,New Jersey,Week-ending,"1,926","4,457",3.13,"1,309",985,,"2,253",One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/18/2020,04/18/2020,By week,New Jersey,Week-ending,"1,937","4,225",2.98,"1,171",913,,"2,197",One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/25/2020,04/25/2020,By week,New Jersey,Week-ending,"1,285","3,118",2.29,845,646,,"1,486",One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,05/02/2020,05/02/2020,By week,New Jersey,Week-ending,401,"1,527",1.09,286,204,0,483,
05/13/2020,05/09/2020,05/09/2020,By week,New Jersey,Week-ending,76,388,0.29,49,32,0,93,
05/13/2020,02/01/2020,02/01/2020,By week,New Mexico,Week-ending,0,360,0.96,26,0,,31,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/08/2020,02/08/2020,By week,New Mexico,Week-ending,0,360,0.9,19,0,,23,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/15/2020,02/15/2020,By week,New Mexico,Week-ending,0,374,1.01,32,0,,37,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/22/2020,02/22/2020,By week,New Mexico,Week-ending,0,372,0.96,23,0,,25,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/29/2020,02/29/2020,By week,New Mexico,Week-ending,0,389,1.01,24,0,,25,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/07/2020,03/07/2020,By week,New Mexico,Week-ending,0,379,1.03,23,0,,27,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/14/2020,03/14/2020,By week,New Mexico,Week-ending,0,326,0.86,21,0,,22,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/21/2020,03/21/2020,By week,New Mexico,Week-ending,0,363,0.98,26,0,,30,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/28/2020,03/28/2020,By week,New Mexico,Week-ending,,340,0.96,21,,,23,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/04/2020,04/04/2020,By week,New Mexico,Week-ending,,368,1.03,30,,0,34,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/11/2020,04/11/2020,By week,New Mexico,Week-ending,20,359,0.95,33,,0,44,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/18/2020,04/18/2020,By week,New Mexico,Week-ending,28,356,1.02,34,16,0,46,
05/13/2020,04/25/2020,04/25/2020,By week,New Mexico,Week-ending,28,290,0.81,28,11,0,45,
05/13/2020,05/02/2020,05/02/2020,By week,New Mexico,Week-ending,12,187,0.53,,,0,17,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,05/09/2020,05/09/2020,By week,New Mexico,Week-ending,,71,0.2,,,0,10,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,02/01/2020,By week,New York,Week-ending,0,"2,017",0.98,145,0,16,161,
05/13/2020,02/08/2020,02/08/2020,By week,New York,Week-ending,0,"2,045",0.96,148,0,21,169,
05/13/2020,02/15/2020,02/15/2020,By week,New York,Week-ending,0,"1,970",0.96,159,0,14,173,
05/13/2020,02/22/2020,02/22/2020,By week,New York,Week-ending,0,"2,007",0.96,155,0,24,179,
05/13/2020,02/29/2020,02/29/2020,By week,New York,Week-ending,0,"2,100",1.04,157,0,16,173,
05/13/2020,03/07/2020,03/07/2020,By week,New York,Week-ending,0,"1,994",0.96,161,0,23,184,
05/13/2020,03/14/2020,03/14/2020,By week,New York,Week-ending,,"1,880",0.94,167,,19,186,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/21/2020,03/21/2020,By week,New York,Week-ending,40,"2,016",1,202,21,13,234,
05/13/2020,03/28/2020,03/28/2020,By week,New York,Week-ending,251,"2,403",1.22,402,154,15,512,
05/13/2020,04/04/2020,04/04/2020,By week,New York,Week-ending,919,"3,527",1.82,858,520,13,"1,266",
05/13/2020,04/11/2020,04/11/2020,By week,New York,Week-ending,"1,756","4,419",2.24,"1,250",913,11,"2,100",
05/13/2020,04/18/2020,04/18/2020,By week,New York,Week-ending,"1,702","4,142",2.14,"1,126",842,,"1,989",One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/25/2020,04/25/2020,By week,New York,Week-ending,"1,199","3,271",1.72,776,564,,"1,412",One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,05/02/2020,05/02/2020,By week,New York,Week-ending,592,"2,315",1.21,402,264,,731,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,05/09/2020,05/09/2020,By week,New York,Week-ending,191,"1,307",0.73,162,96,0,257,
05/13/2020,02/01/2020,02/01/2020,By week,New York City,Week-ending,0,"1,168",1.02,95,0,19,114,
05/13/2020,02/08/2020,02/08/2020,By week,New York City,Week-ending,0,"1,170",0.98,95,0,18,113,
05/13/2020,02/15/2020,02/15/2020,By week,New York City,Week-ending,0,"1,130",0.99,86,0,13,99,
05/13/2020,02/22/2020,02/22/2020,By week,New York City,Week-ending,0,"1,092",1.01,75,0,,84,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/29/2020,02/29/2020,By week,New York City,Week-ending,0,"1,106",1.01,83,0,,89,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/07/2020,03/07/2020,By week,New York City,Week-ending,0,"1,112",1.01,92,0,,100,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/14/2020,03/14/2020,By week,New York City,Week-ending,,"1,126",1.03,103,,,112,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/21/2020,03/21/2020,By week,New York City,Week-ending,113,"1,393",1.33,153,36,14,240,
05/13/2020,03/28/2020,03/28/2020,By week,New York City,Week-ending,882,"2,737",2.66,586,334,45,"1,141",
05/13/2020,04/04/2020,04/04/2020,By week,New York City,Week-ending,"2,857","5,931",5.76,"1,668","1,199",208,"3,335",
05/13/2020,04/11/2020,04/11/2020,By week,New York City,Week-ending,"4,293","7,461",7,"1,990","1,582",320,"4,712",
05/13/2020,04/18/2020,04/18/2020,By week,New York City,Week-ending,"3,344","5,362",5.28,"1,346","1,165",168,"3,528",
05/13/2020,04/25/2020,04/25/2020,By week,New York City,Week-ending,"1,993","3,394",3.44,881,749,74,"2,130",
05/13/2020,05/02/2020,05/02/2020,By week,New York City,Week-ending,842,"1,800",1.79,384,316,,911,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,05/09/2020,05/09/2020,By week,New York City,Week-ending,279,871,0.89,139,107,,312,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,02/01/2020,By week,North Carolina,Week-ending,0,"1,973",1.01,118,0,15,133,
05/13/2020,02/08/2020,02/08/2020,By week,North Carolina,Week-ending,0,"2,047",1,119,0,20,139,
05/13/2020,02/15/2020,02/15/2020,By week,North Carolina,Week-ending,0,"2,043",1.02,140,0,26,166,
